	Column	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	P-value	Pearson Correlation	RMSE	cohort	metric	processing	data_col	cohort_sample_id	incut_sample_id	cutname
22	22	0.3695540904371036	0.054661614210355695	0.0	0.0	0.05439883319737653	0.0	0.4629498128117234	0.0	0.05843564934344079	0.0	0.0	0.0	0.0	0.16	0.15352128059404588	1.0950512350429156	tcgakirc	counts	raw	est_counts	23	23	cut1
23	23	0.0012639382052975407	0.42255018079933615	0.0	0.18361082610948354	0.0	0.025992668945880298	0.15845614434046149	0.0	0.06323625069357786	0.009177250348390377	0.0	0.13571274055757274	0.0	0.04	0.3257640709856319	1.0164550422205818	tcgakirc	counts	raw	est_counts	24	24	cut1
24	24	0.4316477119055587	0.13696175191790574	0.0	0.10120913659272396	0.0	0.02351482500298539	0.1176197783671731	0.0	0.01619320347683749	0.0	0.0	0.1728535927368156	0.0	0.32	0.04557540847143466	1.1919982555222928	tcgakirc	counts	raw	est_counts	25	25	cut1
25	25	0.03404744594948491	0.28056787123957194	0.0	0.12846532423613286	0.0	0.0	0.4718096161235435	0.0	0.0	0.008214556046726456	0.0	0.0	0.07689518640454028	0.09	0.2573640739510149	1.0374115543748803	tcgakirc	counts	raw	est_counts	26	26	cut1
26	26	0.266623822486282	0.1357960931334612	0.0	0.12645034630150245	0.0	0.1142779854550646	0.0	0.0	0.0222268328896644	0.0	0.0	0.3346249197340255	0.0	0.17	0.10891007900290522	1.1282582009832822	tcgakirc	counts	raw	est_counts	27	27	cut1
27	27	0.20335881761928645	0.28145574859752864	0.0254518382868802	0.20705422791026507	0.006017918293259007	0.1285025484645348	0.0	0.0	0.001861091222655496	0.0	0.0	0.1462978096055903	0.0	0.09	0.2566768116145597	1.0634940608067338	tcgakirc	counts	raw	est_counts	28	28	cut1
28	28	0.017584692168295817	0.30099030934792464	0.0	0.0	0.05087641129669509	0.0026862574842914056	0.3749350479314627	0.0	0.0	0.10741561887298642	0.05017885269868143	0.0017763774876107434	0.09355643271205176	0.09	0.21255541147821072	1.0646007295646125	tcgakirc	counts	raw	est_counts	29	29	cut1
29	29	0.025257935738332363	0.4400106060650649	0.0	0.0	0.0	0.09714181435154724	0.1713698696778986	0.0	0.02530322259354318	0.036145419219861766	0.0	0.20477113235375186	0.0	0.04	0.301734529824148	1.0453114861247947	tcgakirc	counts	raw	est_counts	30	30	cut1
30	30	0.3429870057045911	0.07990571498645664	0.0	0.0	0.017034446965586002	0.0	0.2926763657317977	0.0	0.0	0.16166842786575047	0.007611637803569409	0.0981164009422486	0.0	0.09	0.2139855156163332	1.0598976252540135	tcgakirc	counts	raw	est_counts	31	31	cut1
31	31	0.02202796476522013	0.4136284786526703	0.0	0.16250239991518714	0.052707540522000114	0.015072389365577704	0.2458408590843335	0.0	0.06459298325781833	0.0	0.0	0.006297673102964553	0.017329711334228094	0.04	0.3024167060605009	1.0348772717972008	tcgakirc	counts	raw	est_counts	32	32	cut1
32	32	0.028518336296077713	0.27762217747820433	0.0	0.0	0.17869694774142555	0.005807089080608414	0.4282686054022628	0.0	0.08108684400142108	0.0	0.0	0.0	0.0	0.16	0.11518720604194364	1.1254153782695442	tcgakirc	counts	raw	est_counts	33	33	cut1
33	33	0.0	0.32143282197397943	0.0	0.0	0.059864335154677914	0.0	0.4584606891906362	0.0	0.041395711760870514	0.010140045830795004	0.0	0.0	0.10870639608904094	0.09	0.2258330465865097	1.0598645791295462	tcgakirc	counts	raw	est_counts	34	34	cut1
34	34	0.2280745057061209	0.08255827495569218	0.0	0.2444776190104587	0.02637843371053129	0.0	0.0	0.0	0.018238876849947128	0.0	0.0	0.33524748925842546	0.0650248005088244	0.04	0.3097389035402475	0.9972505774090876	tcgakirc	counts	raw	est_counts	35	35	cut1
35	35	0.1859388269909558	0.3359287450556465	0.0	0.14996329684597026	0.0	0.10450555632186766	0.0	0.0	0.020695205805702402	0.0	0.0	0.2029683689798574	0.0	0.04	0.32230543016358515	1.026321772989563	tcgakirc	counts	raw	est_counts	36	36	cut1
36	36	0.12700241429805667	0.10599882470615493	0.0	0.16569553435814754	0.046203395593611064	0.13692071783985454	0.0	0.0	0.0	0.0	0.0	0.4181791132041753	0.0	0.17	0.1088424028040852	1.1398280549594837	tcgakirc	counts	raw	est_counts	37	37	cut1
37	37	0.0	0.21734877581952788	0.0	0.009914693418827536	0.11157036560072828	0.13417182043361914	0.0	0.0	0.0	0.047896365136827934	0.0	0.4790979795904692	0.0	0.0	0.435481403441126	0.9409087240034044	tcgakirc	counts	raw	est_counts	38	38	cut1
